lat,lng
70.5,-151.875
71,-180
71,-179.375
71,-178.75
71,-156.875
71,-156.25
71,-155.625
71,-155
71.5,-180
71.5,-179.375
71.5,-178.75
